,,,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_degree_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_clustering_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_4orbits_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test,mmd_spectral_test
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
dataset_name,model_name,num_epochs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barabasi,GRANMixtureBernoulli,15,10.0,0.04991307437764707,0.0004806716937496508,0.049239541997946557,0.04966696648674257,0.04984136531448813,0.05037915002725174,0.050537069166902704,10.0,0.08400073584482172,0.0023368900669164558,0.07976757613906657,0.0824042864971247,0.0847612379787111,0.08583598763906014,0.08636858800001804,10.0,0.030208373654132415,0.0009096069376162824,0.028717648895694073,0.029727962587285217,0.030002300779772565,0.03082363187550915,0.03183272456246972,10.0,0.0010026334920345769,4.330234810006618e-05,0.0009231692783346901,0.000984314486071447,0.0010057390772728603,0.0010254286851260064,0.0010755587813247036
barabasi,GRANMixtureBernoulli,50,10.0,0.030367829433910098,0.0005508447195225959,0.029277611774437773,0.03020445894136442,0.030370474167483175,0.03064964442056728,0.031299429249630695,10.0,0.08158528762335296,0.0012431308322690489,0.07985604186390376,0.08078246583043777,0.08157130516411662,0.08211698884267285,0.08359187569254231,10.0,0.02848619251397458,0.0012583597682791822,0.02679339939467813,0.02737418678803112,0.02849606028960748,0.029548317060616676,0.030378122230861407,10.0,0.0043654835858251365,8.037084234926765e-05,0.004231127526503897,0.004316579368319917,0.004374675917468651,0.004427167088902451,0.0044771006075232656
barabasi,RNN,1000,10.0,0.14347903488208963,0.000817669228015119,0.14195645191366335,0.14316179811188018,0.14339073395292368,0.1439549567287553,0.14501986305917836,10.0,0.3654821223737451,0.0023393600005361566,0.3613761877793941,0.3641468165769941,0.3653349847489581,0.36665186643886916,0.37020777071882793,10.0,0.18074744193841014,0.0011174796081663003,0.1786809201924602,0.18047097729076125,0.18102486045036287,0.18138142992816303,0.18217397782133501,10.0,0.02711881480562377,0.00019573940426001644,0.02682571933860234,0.027005737986095235,0.027119219030089292,0.02718735837364994,0.02754755738540493
barabasi,RNN_MLP,1000,20.0,0.1454200475331223,0.002246290435272922,0.1428889536330371,0.143220264665454,0.14541733253872124,0.1472772527502374,0.1491436281488141,20.0,0.3422115129578646,0.032601416666929936,0.30703281166148705,0.3106119357614375,0.34164351244570323,0.37372719123647175,0.37848273396354687,20.0,0.1798067506757947,0.023387107529490647,0.1556807949824091,0.15716106926985973,0.179966674250634,0.20233744544862192,0.20384382253793848,20.0,0.026639368513495798,0.0045850393937887516,0.02197351706264672,0.02216570831815229,0.026761674163184757,0.03108540726154413,0.031266313658700584
community2,GRANMixtureBernoulli,5,10.0,0.017373600374496645,0.0,0.017373600374496645,0.017373600374496645,0.017373600374496645,0.017373600374496645,0.017373600374496645,10.0,0.22019648085736193,0.0,0.22019648085736193,0.22019648085736193,0.22019648085736193,0.22019648085736193,0.22019648085736193,10.0,0.13986285568605616,0.0,0.13986285568605616,0.13986285568605616,0.13986285568605616,0.13986285568605616,0.13986285568605616,10.0,0.0727238043405305,0.0,0.0727238043405305,0.0727238043405305,0.0727238043405305,0.0727238043405305,0.0727238043405305
community2,RNN,1000,10.0,0.03361285991084273,0.0,0.03361285991084273,0.03361285991084273,0.03361285991084273,0.03361285991084273,0.03361285991084273,10.0,0.25073054531859895,5.851389114294502e-17,0.2507305453185989,0.2507305453185989,0.2507305453185989,0.2507305453185989,0.2507305453185989,10.0,0.36940644750858026,5.851389114294502e-17,0.3694064475085803,0.3694064475085803,0.3694064475085803,0.3694064475085803,0.3694064475085803,10.0,0.12106628747698212,0.0,0.12106628747698212,0.12106628747698212,0.12106628747698212,0.12106628747698212,0.12106628747698212
community2,RNN_MLP,1000,10.0,0.05137221381708157,0.0,0.05137221381708157,0.05137221381708157,0.05137221381708157,0.05137221381708157,0.05137221381708157,10.0,0.25066659099051336,5.851389114294502e-17,0.2506665909905134,0.2506665909905134,0.2506665909905134,0.2506665909905134,0.2506665909905134,10.0,0.493044900712008,5.851389114294502e-17,0.49304490071200796,0.49304490071200796,0.49304490071200796,0.49304490071200796,0.49304490071200796,10.0,0.13357722624908686,0.0,0.13357722624908686,0.13357722624908686,0.13357722624908686,0.13357722624908686,0.13357722624908686
community4,GRANMixtureBernoulli,5,10.0,0.008478703816683919,1.2756877679041123e-06,0.008477493593004981,0.008477493593004981,0.008478703816683919,0.008479914040362857,0.008479914040362857,10.0,0.027913776530636293,2.9509839840956128e-06,0.027910976981417767,0.027910976981417767,0.027913776530636293,0.02791657607985482,0.02791657607985482,10.0,0.45595126097702054,3.842113550833755e-05,0.4559148114874717,0.4559148114874717,0.4559512609770206,0.4559877104665695,0.4559877104665695,10.0,0.018260762845252243,7.058654220993938e-06,0.018254066417886072,0.018254066417886072,0.018260762845252243,0.018267459272618414,0.018267459272618414
